Timestamp,Date,"Principal Buyer Full Name (First M.I., Family)",Age,Income of Principal Buyer,Marital Status,No. of Family Members,Preferred Location,SOURCE OF LEAD,Source of Income,Employer,Preferred Pay Term,"Spouse Full Name (First M.I., Family)",Age of Spouse,Income of Spouse
07/26/2026 09:55:16,07/26/2026,Client 273,46,"PHP 191,000",Married,5,GEN TRI,Facebook Ads,OFW Sea Base,philippine airlines (int'l),20-80 Pagibig Financing,Spouse of Client 273,44,"PHP 126,500"
07/28/2026 11:56:51,07/28/2026,Client 274,55,"PHP 24,500",Married,6,LIPA,Facebook Ads,Locally Employed,department of education,10-90 Bank Financing,Spouse of Client 274,50,"PHP 32,000"
07/28/2026 10:56:10,07/28/2026,Client 275,25,"PHP 36,000",Single,n/a,MAGALANG EAST,Broker/Agent,Locally Employed,jollibee foods corp,10-90 Bank Financing,n/a,n/a,n/a
08/02/2026 13:13,08/02/2026,Client 276,50,"PHP 111,500",Single,n/a,PANDI EXPANSION,Facebook Ads,OFW Sea Base,Maersk Line,20-80 Pagibig Financing,n/a,n/a,n/a
08/09/2026 13:24,08/09/2026,Client 277,30,"PHP 23,500",Single,N/a,LIPA,Facebook Ads,Self Employed/ Business Owner,Own accounting practice,20-80 Pagibig Financing,N/a,N/a,N/a
08/16/2026 16:18:40,08/16/2026,Client 278,29,"PHP 149,500",Married,4,BATULAO,Referral,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,Spouse of Client 278,28,"PHP 194,000"
08/18/2026 12:23:15,08/18/2026,Client 279,49,"PHP 95,000",Married,6,PANDI EXPANSION,Facebook Ads,Self Employed/ Business Owner,family catering services,10-90 Bank Financing,Spouse of Client 279,50,"PHP 55,500"
08/20/2026 15:51:50,08/20/2026,Client 280,33,"PHP 111,500",Single,n/a,BATULAO,Facebook Ads,Locally Employed,universal robina corp,20-80 Pagibig Financing,n/a,n/a,n/a
08/21/2026 16:20:56,08/21/2026,Client 281,52,"PHP 246,000",Married,2,LIPA,Facebook Ads,OFW Sea Base,philippine airlines (int'l),20-80 Pagibig Financing,Spouse of Client 281,53,"PHP 199,000"
08/21/2026 12:01:28,08/21/2026,Client 282,31,"PHP 162,000",Widow,N/a,GEN TRI,Facebook Ads,OFW Land base,apple inc.,10-90 Bank Financing,N/a,N/a,N/a
08/21/2026 15:52:25,08/21/2026,Client 283,53,"PHP 54,500",Single,N/a,BALIWAG,Referral,Self Employed/ Business Owner,Family agricultural business,20-80 Pagibig Financing,N/a,N/a,N/a
08/22/2026 14:44:21,08/22/2026,Client 284,31,"PHP 184,000",Single,N/A,BALIWAG,Facebook Ads,OFW Land base,emaar properties,Deferred Cash,N/A,N/A,N/A
08/26/2026 18:10:55,08/26/2026,Client 285,53,"PHP 133,500",Single,n/a,BATULAO,Referral,Locally Employed,St. Luke's medical Center,20-80 Pagibig Financing,n/a,n/a,n/a
08/27/2026 09:49:47,08/27/2026,Client 286,38,"PHP 119,000",Married,7,BALIWAG,Facebook Ads,Locally Employed,holcim philippines,20-80 Pagibig Financing,Spouse of Client 286,37,"PHP 140,500"
09/03/2026 14:17,09/03/2026,Client 287,42,"PHP 96,500",Married,7,MAGALANG EAST,Referral,OFW Land base,Sohar Aluminum,20-80 Pagibig Financing,Spouse of Client 287,39,"PHP 106,500"
09/03/2026 13:02,09/03/2026,Client 288,33,"PHP 146,500",Widow,N/a,MAGALANG EAST,Referral,OFW Land base,emaar properties,20-80 Pagibig Financing,N/a,N/a,N/a
09/04/2026 14:38,09/04/2026,Client 289,36,"PHP 102,000",Married,2,LIPA,Facebook Ads,Locally Employed,holcim philippines,10-90 Bank Financing,Spouse of Client 289,40,"PHP 118,500"
09/06/2026 13:20,09/06/2026,Client 290,37,"PHP 66,000",Single,n/a,BATULAO,Referral,Locally Employed,St. luke's Medical Center,10-90 Bank Financing,n/a,n/a,n/a
09/11/2026 12:47,09/11/2026,Client 291,50,"PHP 210,500",Widow,4,LIPA,Facebook Ads,OFW Sea Base,evergreen marine,20-80 Pagibig Financing,N/A,N/A,N/A
09/13/2026 17:28:17,09/13/2026,Client 292,35,"PHP 125,000",Single,N/A,GEN TRI,Facebook Ads,OFW Sea Base,maersk line,20-80 Pagibig Financing,N/A,N/A,N/A
09/21/2026 11:42:23,09/21/2026,Client 293,43,"PHP 26,000",Widow,2,NAIC,Facebook Ads,Locally Employed,ayala land construction,20-80 Pagibig Financing,N/a,N/a,N/a
09/22/2026 09:01:07,09/22/2026,Client 294,40,"PHP 39,000",Single,N/a,CALAMBA,Facebook Ads,OFW Land base,prosegur uae,20-80 Pagibig Financing,N/a,N/a,N/a
09/23/2026 11:14:49,09/23/2026,Client 295,52,"PHP 88,000",Married,7,GEN TRI,Broker/Agent,OFW Land base,al futtaim group,Deferred Cash,Spouse of Client 295,54,"PHP 59,500"
09/24/2026 08:37:25,09/24/2026,Client 296,43,"PHP 149,000",Single,N/a,STO. TOMAS,Referral,Locally Employed,san miguel corporation,20-80 Pagibig Financing,N/a,N/a,N/a
09/24/2026 14:58:48,09/24/2026,Client 297,44,"PHP 128,500",Single,N/a,BALIWAG,Broker/Agent,OFW Land base,Pricewaterhousecoopers uae,20-80 Pagibig Financing,N/a,N/a,N/a
10/01/2026 15:27,10/01/2026,Client 298,43,"PHP 116,000",Married,6,CALAMBA,Facebook Ads,Self Employed/ Business Owner,own accounting practice,20-80 Pagibig Financing,Spouse of Client 298,46,"PHP 81,500"
10/01/2026 15:17,10/01/2026,Client 299,38,"PHP 111,500",Single,n/a,MAGALANG EAST,Facebook Ads,OFW Land base,Al rajhi bank,20-80 Pagibig Financing,n/a,n/a,n/a
10/02/2026 10:32,10/02/2026,Client 300,47,"PHP 208,500",Widow,n/a,IMPRESSIONS HERMOSA,Facebook Ads,OFW Sea Base,Maersk line,Deferred Cash,n/a,n/a,n/a
10/02/2026 15:30,10/02/2026,Client 301,37,"PHP 68,000",Single,n/a,STO. TOMAS,Referral,OFW Land base,Samsung c&t (saudi),20-80 Pagibig Financing,n/a,n/a,n/a
10/10/2026 10:45,10/10/2026,Client 302,46,"PHP 169,000",Single,N/a,PANDI EXPANSION,Facebook Ads,OFW Land base,walmart us,Deferred Cash,N/a,N/a,N/a
10/12/2026 8:39,10/12/2026,Client 303,40,"PHP 27,000",Married,4,CALAMBA,Referral,Self Employed/ Business Owner,online seller,10-90 Bank Financing,Spouse of Client 303,40,"PHP 24,500"
10/15/2026 14:08:11,10/15/2026,Client 304,47,"PHP 214,000",Single,N/a,PANDI EXPANSION,Facebook Ads,OFW Land base,enoc,20-80 Pagibig Financing,N/a,N/a,N/a
10/17/2026 17:32:07,10/17/2026,Client 305,33,"PHP 139,000",Single,n/a,PANDI EXPANSION,Broker/Agent,OFW Land base,jumeirah group,20-80 Pagibig Financing,n/a,n/a,n/a
10/18/2026 17:12:41,10/18/2026,Client 306,50,"PHP 72,500",Married,7,MAGALANG EAST,Other:,OFW Land base,Samsung c&t (saudi),20-80 Pagibig Financing,Spouse of Client 306,54,"PHP 66,000"
10/19/2026 16:49:34,10/19/2026,Client 307,48,"PHP 179,000",Single,N/A,MAGALANG EAST,Facebook Ads,OFW Land base,emaar Properties,20-80 Pagibig Financing,N/A,N/A,N/A
10/19/2026 17:19:42,10/19/2026,Client 308,47,"PHP 135,500",Married,4,BALIWAG,Referral,OFW Sea Base,philippine airlines (int'l),20-80 Pagibig Financing,Spouse of Client 308,48,"PHP 152,500"
10/20/2026 12:27:36,10/20/2026,Client 309,32,"PHP 223,000",Single,n/a,LIPA,Referral,OFW Land base,Pricewaterhousecoopers uae,20-80 Pagibig Financing,n/a,n/a,n/a
10/24/2026 08:55:00,10/24/2026,Client 310,40,"PHP 18,000",Married,2,MAGALANG EAST,Broker/Agent,Locally Employed,metrobank,20-80 Pagibig Financing,Spouse of Client 310,40,"PHP 19,500"
10/24/2026 08:42:20,10/24/2026,Client 311,45,"PHP 252,000",Married,4,BALIWAG,Facebook Ads,Self Employed/ Business Owner,family agricultural business,20-80 Pagibig Financing,Spouse of Client 311,49,"PHP 286,000"
10/25/2026 17:46:58,10/25/2026,Client 312,45,"PHP 30,000",Married,5,BATULAO,Facebook Ads,OFW Sea Base,philippine airlines (int'l),10-90 Bank Financing,Spouse of Client 312,46,"PHP 17,000"
10/26/2026 17:12:53,10/26/2026,Client 313,48,"PHP 267,000",Single,N/A,BATULAO,Broker/Agent,Self Employed/ Business Owner,sari-sari store,10-90 Bank Financing,N/A,N/A,N/A
10/26/2026 19:44:28,10/26/2026,Client 314,50,"PHP 33,000",Married,3,BATULAO,Facebook Ads,OFW Land base,hyundai engineering korea,20-80 Pagibig Financing,Spouse of Client 314,46,"PHP 16,500"
10/27/2026 20:27:13,10/27/2026,Client 315,44,"PHP 55,500",Married,5,LIPA,Referral,OFW Land base,samsung hq seoul,10-90 Bank Financing,Spouse of Client 315,42,"PHP 41,000"
10/28/2026 17:15:21,10/28/2026,Client 316,33,"PHP 107,000",Single,n/a,LIPA,Referral,OFW Land base,samsung c&t (saudi),20-80 Pagibig Financing,n/a,n/a,n/a
10/29/2026 14:21:05,10/29/2026,Client 317,47,"PHP 168,500",Single,N/a,MAGALANG EAST,Facebook Ads,OFW Land base,Al Rajhi bank,20-80 Pagibig Financing,N/a,N/a,N/a
10/31/2026 16:04:52,10/31/2026,Client 318,31,"PHP 243,500",Single,N/A,GEN TRI,Other:,OFW Land base,al Rajhi bank,10-90 Bank Financing,N/A,N/A,N/A
11/01/2026 18:07,11/01/2026,Client 319,37,"PHP 66,500",Married,2,BALIWAG,Facebook Ads,OFW Land base,Sohar Aluminum,10-90 Bank Financing,Spouse of Client 319,36,"PHP 42,500"
11/07/2026 14:55,11/07/2026,Client 320,37,"PHP 47,500",Married,7,BATULAO,Facebook Ads,OFW Land base,walmart us,20-80 Pagibig Financing,Spouse of Client 320,42,"PHP 48,000"
11/21/2026 17:48:24,11/21/2026,Client 321,43,"PHP 32,500",Single,n/a,PANDI EXPANSION,Broker/Agent,OFW Sea Base,Msc cruises,Deferred Cash,n/a,n/a,n/a
11/23/2026 19:17:17,11/23/2026,Client 322,39,"PHP 49,500",Single,N/a,LIPA,Facebook Ads,OFW Land base,Consolidated contractors,10-90 Bank Financing,N/a,N/a,N/a
11/23/2026 20:55:54,11/23/2026,Client 323,47,"PHP 164,000",Single,N/A,CALAMBA,Facebook Ads,OFW Land base,PROSEGUR uae,Deferred Cash,N/A,N/A,N/A
11/27/2026 09:45:06,11/27/2026,Client 324,40,"PHP 30,500",Married,7,BATULAO,Facebook Ads,OFW Land base,enoc,20-80 Pagibig Financing,Spouse of Client 324,38,"PHP 22,500"
11/29/2026 13:49:46,11/29/2026,Client 325,49,"PHP 192,500",Single,n/a,CALAMBA,Referral,OFW Sea Base,maersk line,20-80 Pagibig Financing,n/a,n/a,n/a
11/29/2026 20:34:05,11/29/2026,Client 326,49,"PHP 20,500",Married,4,TAYABAS,Broker/Agent,Locally Employed,Holcim philippines,10-90 Bank Financing,Spouse of Client 326,51,"PHP 21,000"
12/02/2026 10:44,12/02/2026,Client 327,28,"PHP 34,000",Married,6,PANDI EXPANSION,Referral,Locally Employed,armed forces of the philippines,20-80 Pagibig Financing,Spouse of Client 327,30,"PHP 31,500"
12/02/2026 10:50,12/02/2026,Client 328,35,"PHP 72,000",Married,3,BALIWAG,Facebook Ads,Locally Employed,Globe telecom,20-80 Pagibig Financing,Spouse of Client 328,33,"PHP 56,000"
12/04/2026 14:44,12/04/2026,Client 329,39,"PHP 155,500",Married,6,BALIWAG,Facebook Ads,OFW Land base,Pricewaterhousecoopers uae,20-80 Pagibig Financing,Spouse of Client 329,39,"PHP 164,500"
12/05/2026 14:39,12/05/2026,Client 330,46,"PHP 135,000",Single,N/A,LIPA,Referral,Locally Employed,land bank of the philippines,20-80 Pagibig Financing,N/A,N/A,N/A
12/10/2026 15:36,12/10/2026,Client 331,43,"PHP 143,000",Widow,n/a,LIPA,Facebook Ads,OFW Land base,sohar aluminum,20-80 Pagibig Financing,n/a,n/a,n/a
12/24/2026 16:26:39,12/24/2026,Client 332,54,"PHP 64,500",Married,2,BALIWAG,Facebook Ads,OFW Land base,Consolidated contractors,10-90 Bank Financing,Spouse of Client 332,52,"PHP 74,000"
12/25/2026 20:47:07,12/25/2026,Client 333,45,"PHP 140,000",Single,n/a,BALANGA,Broker/Agent,OFW Land base,Kuwait oil company,10-90 Bank Financing,n/a,n/a,n/a
12/27/2026 11:33:33,12/27/2026,Client 334,46,"PHP 216,500",Married,7,PANDI EXPANSION,Facebook Ads,OFW Land base,Sohar aluminum,20-80 Pagibig Financing,Spouse of Client 334,50,"PHP 182,000"
12/31/2026 17:38:33,12/31/2026,Client 335,29,"PHP 130,000",Married,4,BALIWAG,Referral,Locally Employed,st. Luke's medical Center,20-80 Pagibig Financing,Spouse of Client 335,26,"PHP 128,000"
01/01/2027 15:15,01/01/2027,Client 336,42,"PHP 135,500",Single,n/a,GAPAN,Facebook Ads,OFW Land base,enoc,20-80 Pagibig Financing,n/a,n/a,n/a
01/02/2027 17:42,01/02/2027,Client 337,54,"PHP 172,500",Married,7,LIPA,Facebook Ads,OFW Land base,Qatar petroleum,20-80 Pagibig Financing,Spouse of Client 337,57,"PHP 203,000"
01/02/2027 8:29,01/02/2027,Client 338,27,"PHP 134,000",Married,6,LIPA,Facebook Ads,OFW Land base,four seasons dubai,20-80 Pagibig Financing,Spouse of Client 338,26,"PHP 69,000"
01/04/2027 15:03,01/04/2027,Client 339,32,"PHP 138,500",Single,N/a,STO. TOMAS,Facebook Ads,Locally Employed,department of education,20-80 Pagibig Financing,N/a,N/a,N/a
01/07/2027 13:47,01/07/2027,Client 340,49,"PHP 37,000",Single,N/A,BATULAO,Facebook Ads,Self Employed/ Business Owner,own business operations,20-80 Pagibig Financing,N/A,N/A,N/A
01/15/2027 14:35:11,01/15/2027,Client 341,43,"PHP 59,500",Married,6,BATULAO,Broker/Agent,Self Employed/ Business Owner,Own business operations,20-80 Pagibig Financing,Spouse of Client 341,40,"PHP 50,500"
01/16/2027 15:37:40,01/16/2027,Client 342,53,"PHP 104,000",Married,3,PANDI EXPANSION,Facebook Ads,Locally Employed,accenture Philippines,10-90 Bank Financing,Spouse of Client 342,56,"PHP 78,500"
01/18/2027 11:35:21,01/18/2027,Client 343,42,"PHP 36,500",Married,3,PANDI EXPANSION,Facebook Ads,Locally Employed,globe telecom,20-80 Pagibig Financing,Spouse of Client 343,42,"PHP 23,500"
01/22/2027 20:42:31,01/22/2027,Client 344,55,"PHP 121,000",Married,4,BALIWAG,Facebook Ads,Locally Employed,holcim philippines,20-80 Pagibig Financing,Spouse of Client 344,51,"PHP 131,000"
01/24/2027 19:57:39,01/24/2027,Client 345,37,"PHP 118,500",Married,3,MAGALANG EAST,Facebook Ads,Locally Employed,AYALA land construction,10-90 Bank Financing,Spouse of Client 345,32,"PHP 122,500"
01/26/2027 16:18:13,01/26/2027,Client 346,29,"PHP 237,500",Married,6,BATULAO,Broker/Agent,Self Employed/ Business Owner,independent contractor,20-80 Pagibig Financing,Spouse of Client 346,30,"PHP 156,500"
01/27/2027 10:07:10,01/27/2027,Client 347,33,"PHP 170,000",Married,6,LIPA,Facebook Ads,OFW Land base,four seasons dubai,20-80 Pagibig Financing,Spouse of Client 347,28,"PHP 109,000"
01/31/2027 09:06:15,01/31/2027,Client 348,51,"PHP 105,500",Single,N/A,LIPA,Broker/Agent,OFW Land base,Bechtel Middle East,10-90 Bank Financing,N/A,N/A,N/A
01/31/2027 08:21:38,01/31/2027,Client 349,31,"PHP 130,000",Married,2,GEN TRI,Facebook Ads,OFW Land base,sohar Aluminum,10-90 Bank Financing,Spouse of Client 349,32,"PHP 109,500"
02/01/2027 14:36,02/01/2027,Client 350,31,"PHP 219,500",Married,6,PANDI EXPANSION,Facebook Ads,OFW Sea Base,philippine airlines (int'l),10-90 Bank Financing,Spouse of Client 350,34,"PHP 176,500"
02/04/2027 13:55,02/04/2027,Client 351,47,"PHP 246,500",Single,n/a,SAN PABLO EAST,Facebook Ads,Self Employed/ Business Owner,sari-sari STORE,10-90 Bank Financing,n/a,n/a,n/a
02/11/2027 9:04,02/11/2027,Client 352,49,"PHP 34,500",Single,n/a,BATULAO,Facebook Ads,Locally Employed,bureau of internal revenue,20-80 Pagibig Financing,n/a,n/a,n/a
02/18/2027 16:08:34,02/18/2027,Client 353,41,"PHP 163,000",Married,4,PANDI EXPANSION,Facebook Ads,OFW Land base,SAMSUNG c&t (saudi),20-80 Pagibig Financing,Spouse of Client 353,39,"PHP 209,500"
02/20/2027 20:18:21,02/20/2027,Client 354,51,"PHP 72,500",Single,N/A,GAPAN,Other:,OFW Sea Base,evergreen marine,10-90 Bank Financing,N/A,N/A,N/A
02/23/2027 18:09:08,02/23/2027,Client 355,48,"PHP 34,000",Single,n/a,LIPA,Facebook Ads,OFW Land base,SAMSUNG hq seoul,20-80 Pagibig Financing,n/a,n/a,n/a
03/05/2027 16:18,03/05/2027,Client 356,34,"PHP 54,000",Widow,N/A,GEN TRI,Facebook Ads,OFW Land base,samsung c&t (saudi),Deferred Cash,N/A,N/A,N/A
03/12/2027 17:17,03/12/2027,Client 357,45,"PHP 116,500",Single,N/A,BATULAO,Referral,OFW Land base,qatar petroleum,20-80 Pagibig Financing,N/A,N/A,N/A
03/14/2027 09:24:41,03/14/2027,Client 358,48,"PHP 93,500",Widow,n/a,BALIWAG,Broker/Agent,Self Employed/ Business Owner,Family catering services,20-80 Pagibig Financing,n/a,n/a,n/a
03/17/2027 12:00:32,03/17/2027,Client 359,48,"PHP 106,000",Married,5,PANDI EXPANSION,Facebook Ads,OFW Sea Base,Carnival cruise line,20-80 Pagibig Financing,Spouse of Client 359,43,"PHP 84,000"
03/22/2027 18:53:10,03/22/2027,Client 360,51,"PHP 120,000",Single,n/a,LIPA,Facebook Ads,OFW Land base,japan tobacco int'l,Deferred Cash,n/a,n/a,n/a
03/25/2027 15:44:52,03/25/2027,Client 361,51,"PHP 48,500",Married,2,LIPA,Facebook Ads,OFW Land base,Japan Tobacco int'l,20-80 Pagibig Financing,Spouse of Client 361,49,"PHP 47,500"
03/25/2027 12:01:18,03/25/2027,Client 362,44,"PHP 227,000",Married,2,MAGALANG EAST,Facebook Ads,OFW Land base,Aramco,20-80 Pagibig Financing,Spouse of Client 362,49,"PHP 291,000"
03/27/2027 08:32:29,03/27/2027,Client 363,25,"PHP 67,500",Single,N/a,BALIWAG,Facebook Ads,Locally Employed,san miguel corporation,20-80 Pagibig Financing,N/a,N/a,N/a
04/06/2027 9:17,04/06/2027,Client 364,51,"PHP 76,000",Married,4,BATULAO,Referral,OFW Land base,emirates airlines,20-80 Pagibig Financing,Spouse of Client 364,48,"PHP 46,000"
04/06/2027 12:09,04/06/2027,Client 365,41,"PHP 58,000",Married,4,BATULAO,Referral,OFW Land base,Al futtaim group,20-80 Pagibig Financing,Spouse of Client 365,40,"PHP 74,000"
04/08/2027 13:01,04/08/2027,Client 366,32,"PHP 234,500",Single,N/A,MAGALANG EAST,Referral,OFW Land base,sohar aluminum,20-80 Pagibig Financing,N/A,N/A,N/A
04/16/2027 08:24:52,04/16/2027,Client 367,49,"PHP 16,500",Single,n/a,LIPA,Broker/Agent,Self Employed/ Business Owner,freelance services,20-80 Pagibig Financing,n/a,n/a,n/a
04/26/2027 10:49:02,04/26/2027,Client 368,25,"PHP 135,000",Married,3,MAGALANG EAST,Broker/Agent,OFW Land base,sohar aluminum,20-80 Pagibig Financing,Spouse of Client 368,28,"PHP 125,500"
04/28/2027 20:44:50,04/28/2027,Client 369,53,"PHP 168,000",Single,N/a,PANDI EXPANSION,Facebook Ads,OFW Land base,Four seasons dubai,20-80 Pagibig Financing,N/a,N/a,N/a
04/29/2027 18:50:56,04/29/2027,Client 370,33,"PHP 65,500",Single,N/a,CALAMBA,Referral,Locally Employed,department of education,20-80 Pagibig Financing,N/a,N/a,N/a
04/30/2027 17:02:12,04/30/2027,Client 371,26,"PHP 126,000",Single,N/A,BALIWAG,Broker/Agent,OFW Land base,Japan tobacco int'l,Deferred Cash,N/A,N/A,N/A
05/02/2027 19:18,05/02/2027,Client 372,49,"PHP 83,500",Single,N/a,BATULAO,Facebook Ads,OFW Land base,Samsung hq seoul,20-80 Pagibig Financing,N/a,N/a,N/a
05/02/2027 13:12,05/02/2027,Client 373,32,"PHP 135,000",Married,2,PANDI EXPANSION,Referral,Self Employed/ Business Owner,own accounting practice,Cash,Spouse of Client 373,29,"PHP 96,000"
05/07/2027 12:55,05/07/2027,Client 374,50,"PHP 127,500",Widow,n/a,SAN PABLO EAST,Facebook Ads,Self Employed/ Business Owner,Independent contractor,20-80 Pagibig Financing,n/a,n/a,n/a
05/14/2027 09:17:08,05/14/2027,Client 375,38,"PHP 97,500",Married,3,PANDI EXPANSION,Facebook Ads,Self Employed/ Business Owner,sari-sari store,20-80 Pagibig Financing,Spouse of Client 375,39,"PHP 56,000"
05/16/2027 09:39:45,05/16/2027,Client 376,25,"PHP 122,000",Widow,2,MAGALANG EAST,Facebook Ads,OFW Land base,aster dm healthcare,Deferred Cash,N/a,N/a,N/a
05/17/2027 18:32:32,05/17/2027,Client 377,36,"PHP 131,000",Single,N/a,MAGALANG EAST,Facebook Ads,Locally Employed,Philippine Airlines,10-90 Bank Financing,N/a,N/a,N/a
05/23/2027 13:52:11,05/23/2027,Client 378,37,"PHP 114,500",Single,N/A,CALAMBA,Broker/Agent,Locally Employed,Philippine general hospital,20-80 Pagibig Financing,N/A,N/A,N/A
05/24/2027 10:44:38,05/24/2027,Client 379,33,"PHP 211,000",Married,6,GAPAN,Facebook Ads,OFW Land base,enoc,10-90 Bank Financing,Spouse of Client 379,38,"PHP 116,500"
05/24/2027 17:30:27,05/24/2027,Client 380,27,"PHP 188,500",Married,2,PANDI EXPANSION,Facebook Ads,OFW Land base,hyundai engineering,10-90 Bank Financing,Spouse of Client 380,25,"PHP 212,000"
05/31/2027 12:06:35,05/31/2027,Client 381,39,"PHP 52,000",Married,2,LIPA,Referral,OFW Land base,emirates airlines,20-80 Pagibig Financing,Spouse of Client 381,36,"PHP 45,000"
06/06/2027 16:13,06/06/2027,Client 382,50,"PHP 54,000",Single,N/A,LIPA,Referral,OFW Land base,emaar properties,20-80 Pagibig Financing,N/A,N/A,N/A
06/06/2027 13:37,06/06/2027,Client 383,48,"PHP 122,500",Single,n/a,PANDI EXPANSION,Facebook Ads,OFW Land base,hyundai engineering Korea,20-80 Pagibig Financing,n/a,n/a,n/a
06/09/2027 10:37,06/09/2027,Client 384,30,"PHP 91,000",Single,N/A,BATULAO,Facebook Ads,Locally Employed,metrobank,20-80 Pagibig Financing,N/A,N/A,N/A
06/09/2027 14:24,06/09/2027,Client 385,33,"PHP 72,500",Married,7,LIPA,Referral,OFW Land base,EMIRATES AIRLINES,20-80 Pagibig Financing,Spouse of Client 385,36,"PHP 93,000"
06/11/2027 12:45,06/11/2027,Client 386,40,"PHP 104,000",Widow,N/A,BATULAO,Broker/Agent,OFW Land base,Emaar properties,20-80 Pagibig Financing,N/A,N/A,N/A
06/12/2027 14:34,06/12/2027,Client 387,25,"PHP 50,500",Married,5,LIPA,Facebook Ads,Locally Employed,accenture philippines,20-80 Pagibig Financing,Spouse of Client 387,23,"PHP 54,500"
06/12/2027 18:46,06/12/2027,Client 388,38,"PHP 50,500",Married,2,PANDI EXPANSION,Facebook Ads,OFW Land base,Sohar aluminum,10-90 Bank Financing,Spouse of Client 388,40,"PHP 33,500"
06/13/2027 20:43:04,06/13/2027,Client 389,34,"PHP 217,000",Married,6,BATULAO,Facebook Ads,OFW Land base,Petrofac,20-80 Pagibig Financing,Spouse of Client 389,36,"PHP 194,500"
06/13/2027 20:41:36,06/13/2027,Client 390,28,"PHP 145,500",Married,3,BATULAO,Facebook Ads,Locally Employed,metrobank,20-80 Pagibig Financing,Spouse of Client 390,23,"PHP 98,000"
06/28/2027 13:22:37,06/28/2027,Client 391,55,"PHP 20,500",Single,N/A,BALANGA,Facebook Ads,Locally Employed,Universal Robina corp,20-80 Pagibig Financing,N/A,N/A,N/A
07/01/2027 9:02,07/01/2027,Client 392,51,"PHP 88,500",Married,3,BATULAO,Facebook Ads,Self Employed/ Business Owner,tricycle operator,Cash,Spouse of Client 392,49,"PHP 55,500"
07/02/2027 14:46,07/02/2027,Client 393,29,"PHP 140,500",Married,7,BATULAO,Broker/Agent,OFW Land base,hyundai engineering,20-80 Pagibig Financing,Spouse of Client 393,30,"PHP 91,000"
07/12/2027 10:37,07/12/2027,Client 394,54,"PHP 34,000",Single,n/a,MAGALANG EAST,Referral,OFW Land base,aster dm healthcare,20-80 Pagibig Financing,n/a,n/a,n/a
07/12/2027 13:11,07/12/2027,Client 395,44,"PHP 44,000",Single,n/a,PANDI EXPANSION,Referral,Self Employed/ Business Owner,own ACCOUNTING PRACTICE,20-80 Pagibig Financing,n/a,n/a,n/a
07/13/2027 12:02:44,07/13/2027,Client 396,36,"PHP 118,000",Single,N/a,BATULAO,Broker/Agent,Locally Employed,Meralco,20-80 Pagibig Financing,N/a,N/a,N/a
07/21/2027 19:26:52,07/21/2027,Client 397,37,"PHP 88,500",Single,N/A,NAIC,Broker/Agent,OFW Land base,adnoc,20-80 Pagibig Financing,N/A,N/A,N/A
07/31/2027 16:51:53,07/31/2027,Client 398,28,"PHP 16,000",Married,5,MAGALANG EAST,Facebook Ads,Self Employed/ Business Owner,family catering services,Cash,Spouse of Client 398,23,"PHP 12,000"
08/03/2027 15:00,08/03/2027,Client 399,39,"PHP 31,000",Single,n/a,CALAMBA,Facebook Ads,OFW Land base,prosegur uae,20-80 Pagibig Financing,n/a,n/a,n/a
08/03/2027 16:55,08/03/2027,Client 400,40,"PHP 143,500",Married,6,LIPA,Facebook Ads,OFW Land base,Pricewaterhousecoopers uae,10-90 Bank Financing,Spouse of Client 400,38,"PHP 137,000"
08/05/2027 14:51,08/05/2027,Client 401,34,"PHP 197,500",Married,3,GAPAN,Facebook Ads,OFW Land base,emaar properties,20-80 Pagibig Financing,Spouse of Client 401,36,"PHP 219,500"
08/12/2027 18:46,08/12/2027,Client 402,39,"PHP 118,000",Single,N/a,PANDI EXPANSION,Facebook Ads,OFW Sea Base,Philippine airlines (int'l),20-80 Pagibig Financing,N/a,N/a,N/a
08/15/2027 19:57:53,08/15/2027,Client 403,28,"PHP 136,500",Married,4,PANDI EXPANSION,Broker/Agent,Self Employed/ Business Owner,tricycle operator,20-80 Pagibig Financing,Spouse of Client 403,28,"PHP 144,500"
08/16/2027 15:33:23,08/16/2027,Client 404,30,"PHP 169,000",Married,6,IMPRESSIONS HERMOSA,Referral,OFW Land base,Kuwait oil company,Deferred Cash,Spouse of Client 404,25,"PHP 191,000"
08/21/2027 13:26:56,08/21/2027,Client 405,30,"PHP 136,500",Single,N/A,MAGALANG EAST,Facebook Ads,OFW Land base,bechtel middle east,20-80 Pagibig Financing,N/A,N/A,N/A
08/21/2027 10:41:53,08/21/2027,Client 406,53,"PHP 41,500",Widow,3,LIPA,Referral,Locally Employed,holcim philippines,20-80 Pagibig Financing,N/A,N/A,N/A
08/26/2027 15:07:05,08/26/2027,Client 407,33,"PHP 47,000",Married,6,CALAMBA,Facebook Ads,OFW Land base,four seasons dubai,20-80 Pagibig Financing,Spouse of Client 407,31,"PHP 48,500"
08/26/2027 17:03:02,08/26/2027,Client 408,35,"PHP 143,000",Married,5,BALIWAG,Facebook Ads,Locally Employed,Bdo unibank,10-90 Bank Financing,Spouse of Client 408,34,"PHP 92,000"
08/28/2027 20:28:28,08/28/2027,Client 409,35,"PHP 182,500",Single,N/A,BALIWAG,Broker/Agent,OFW Sea Base,evergreen marine,20-80 Pagibig Financing,N/A,N/A,N/A
